weekly_hours,coding_months,money_spent,employed_dev,career_interests,expected_salary,willing_relocate,last_year_income,age,region,education_level,field_of_study,marital_status,disability_benefits,home_internet
10.0,6.0,30.0,0,Front-End Web Developer,15499,Yes,1000.0,38.0,Latin America and Caribbean,Bachelor’s degree,"Environmental science (e.g., earth sciences, sustainability)",Married or domestic partnership,1,1
2.0,24.0,5000.0,1,Product Manager,39999,Yes,44999.0,35.0,East Asia and Pacific,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
10.0,50.0,200.0,1,Full-Stack Web Developer,62499,No,82499.0,27.0,North America,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
5.0,36.0,10500.0,1,Full-Stack Web Developer,62499,Maybe,67499.0,24.0,North America,"Some college credit, no degree","A business discipline (e.g., accounting, finance, marketing)","Single, never married",0,1
20.0,30.0,0.0,1,Full-Stack Web Developer,39999,Yes,1999.0,23.0,Europe and Central Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
20.0,12.0,400.0,1,Full-Stack Web Developer,7499,No,12499.0,50.0,Europe and Central Asia,"Some college credit, no degree",I didn't attend a university,Divorced,0,1
5.0,24.0,500.0,1,Mobile Developer,7499,Yes,1999.0,26.0,South Asia,"Professional degree (MBA, MD, JD, etc.)","Computer science, computer engineering, or software engineering","Single, never married",0,0
8.0,24.0,0.0,1,Data Engineer,15499,Yes,22499.0,44.0,Europe and Central Asia,Master's degree (non-professional),"A business discipline (e.g., accounting, finance, marketing)","Single, never married",0,1
42.0,120.0,100.0,1,Product Manager,87499,Yes,22499.0,21.0,South Asia,Bachelor’s degree,"Information systems, information technology, or system administration","Single, never married",0,1
35.0,24.0,0.0,0,Back-End Web Developer,39999,No,1000.0,20.0,South Asia,Associate’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
5.0,48.0,200.0,1,Back-End Web Developer,39999,Yes,1000.0,25.0,South Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
5.0,7.0,0.0,0,Full-Stack Web Developer,15499,Yes,1999.0,21.0,Europe and Central Asia,"Some college credit, no degree","A natural science (e.g., biology, chemistry, physics)","Single, never married",0,0
10.0,50.0,100.0,1,Full-Stack Web Developer,112499,Yes,82499.0,29.0,East Asia and Pacific,Bachelor’s degree,"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
6.0,96.0,0.0,1,Full-Stack Web Developer,39999,Maybe,22499.0,46.0,Europe and Central Asia,"Trade, technical, or vocational training","Fine arts or performing arts (e.g., graphic design, music, studio, art)",Married or domestic partnership,0,0
10.0,48.0,7000.0,1,Full-Stack Web Developer,62499,Yes,12499.0,28.0,Southeast Asia,"Professional degree (MBA, MD, JD, etc.)","Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
5.0,14.0,0.0,1,Back-End Web Developer,24999,Yes,27499.0,25.0,East Asia and Pacific,Bachelor’s degree,Data Science,"Single, never married",0,1
12.0,3.0,0.0,0,Game Developer,62499,Maybe,32499.0,37.0,North America,Bachelor’s degree,"Fine arts or performing arts (e.g., graphic design, music, studio, art)",Married or domestic partnership,0,1
20.0,9.0,80.0,1,Front-End Web Developer,2499,Maybe,1000.0,20.0,South Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
10.0,12.0,500.0,1,Front-End Web Developer,2499,Yes,1000.0,32.0,Latin America and Caribbean,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
25.0,6.0,500.0,0,Full-Stack Web Developer,62499,No,44999.0,40.0,North America,"Some college credit, no degree","Fine arts or performing arts (e.g., graphic design, music, studio, art)","Single, never married",0,1
7.0,24.0,500.0,0,Front-End Web Developer,7499,Maybe,17499.0,45.0,Europe and Central Asia,High school diploma or equivalent (GED),"A business discipline (e.g., accounting, finance, marketing)","Single, never married",1,1
40.0,9.0,200.0,0,Full-Stack Web Developer,24999,Yes,1000.0,23.0,Southeast Asia,Bachelor’s degree,"Information systems, information technology, or system administration","Single, never married",0,1
2.0,6.0,0.0,0,Data Scientist,224999,I am not interested in a software development career,8499.0,40.0,South Asia,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
40.0,24.0,0.0,1,Full-Stack Web Developer,142499,Maybe,82499.0,31.0,Europe and Central Asia,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
20.0,24.0,40.0,0,Back-End Web Developer,87499,Maybe,104999.0,33.0,North America,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
3.0,52.0,100.0,1,Full-Stack Web Developer,7499,Maybe,12499.0,25.0,Latin America and Caribbean,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
40.0,18.0,7500.0,0,Full-Stack Web Developer,39999,No,27499.0,33.0,Europe and Central Asia,"Trade, technical, or vocational training",Event Management,"Single, never married",0,1
40.0,8.0,500.0,0,Mobile Developer,39999,Maybe,1999.0,33.0,Europe and Central Asia,"Some college credit, no degree","A natural science (e.g., biology, chemistry, physics)",Married or domestic partnership,0,1
30.0,6.0,1000.0,0,Full-Stack Web Developer,87499,Yes,82499.0,35.0,North America,"Some college credit, no degree","A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
45.0,10.0,0.0,0,Data Scientist,87499,Yes,22499.0,20.0,North America,High school diploma or equivalent (GED),I didn't attend a university,"Single, never married",0,1
40.0,40.0,200.0,1,Front-End Web Developer,62499,Yes,82499.0,32.0,Middle East and North Africa,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
4.0,24.0,0.0,0,Full-Stack Web Developer,2499,Maybe,1999.0,27.0,Latin America and Caribbean,High school diploma or equivalent (GED),"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
3.0,2.0,0.0,0,Information Security,39999,No,27499.0,29.0,North America,Bachelor’s degree,"Fine arts or performing arts (e.g., graphic design, music, studio, art)","Single, never married",0,1
10.0,26.0,50.0,1,Game Developer,24999,Maybe,12499.0,33.0,Europe and Central Asia,"Some college credit, no degree","A humanities discipline (e.g., literature, history, philosophy)","Single, never married",0,1
12.0,3.0,0.0,0,Full-Stack Web Developer,39999,Yes,3999.0,23.0,South Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
2.0,50.0,800.0,1,Full-Stack Web Developer,87499,No,82499.0,30.0,East Asia and Pacific,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
5.0,10.0,250.0,1,Back-End Web Developer,87499,No,82499.0,32.0,North America,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
8.0,2.0,550.0,0,Full-Stack Web Developer,15499,Maybe,5999.0,25.0,Latin America and Caribbean,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
10.0,13.0,10000.0,0,Front-End Web Developer,62499,Yes,22499.0,30.0,North America,Bachelor’s degree,"Fine arts or performing arts (e.g., graphic design, music, studio, art)",Divorced,0,1
